Terremoti (anno),Geni,mexicodoug,nixonrichard,aletoledo,Terremoti dal 1800 (giorni dall'anno 0)
,,1248828098,1266010427,1276289483,
,,1248828193,1266010862,1276289726,
,,1248828547,1266011238,1276290187,
,,1248828749,1266015548,1276290577,
,,1248831347,1266016183,1276290708,
,,1248832000,1266035610,1276290895,
,,1248832100,1266083103,1276291359,
,,1248832304,1266085361,1276292289,
,,1248899987,1266124306,1276522813,
,,1248900234,1266132605,1276523000,
,,1248900447,1266177560,1276523296,
,,1248901713,1266179621,1276524280,
,,1248901867,1266201667,1276534149,
,,1248902441,1266259493,1276534847,
,,1248904339,1266265452,1276535091,
,,1248907671,1266280901,1276538110,
,,1248907750,1266284325,1276538696,
,,1248908764,1266289753,1276539017,
,,1248909265,1266299679,1276542995,
,,1248910071,1266313461,1276543685,
,,1248910213,1266315317,1276544169,
,,1248910271,1266316090,1276546652,
,,1248917520,1266316602,1276546982,
,,1248917742,1266316722,1276605009,
,,1248920049,1266317351,1276605693,
,,1248920306,1266318174,1276614443,
,,1248921451,1266318502,1276614968,
,,1248927142,1266318701,1276615127,
,,1248930215,1266318956,1276615978,
,,1248930392,1266319445,1276621539,
,,1248932370,1266348722,1276623473,
,,1248932455,1266349814,1276624763,
,,1248932599,1266349950,1276626808,
,,1248951999,1266363671,1276628293,
,,1249067830,1266365323,1276628995,
,,1249067954,1266365740,1276630189,
,,1249068260,1266365820,1276631232,
,,1249069146,1266372097,1276631882,
,,1249091767,1266372875,1276632379,
,,1249092015,1266429609,1276632849,
,,1249093230,1266431218,1276634073,
,,1249093485,1266432059,1276634436,
,,1249093700,1266432656,1276635316,
,,1249096691,1266433154,1276635501,
,,1249097748,1266433247,1276636210,
,,1249098312,1266450126,1276648890,
,,1249098495,1266466232,1276649033,
,,1249098684,1266466582,1276649220,
,,1249099152,1266484977,1276649699,
,,1249100152,1266486165,1276695927,
,,1249100449,1266516183,1276697951,
,,1249100559,1266516632,1276698643,
,,1249100811,1266518467,1276699098,
,,1249101016,1266520149,1276699255,
,,1249101582,1266529282,1276699623,
,,1249101892,1266529556,1276701347,
,,1249102390,1266530249,1276704661,
,,1249102569,1266539752,1276704783,
,,1249103834,1266546761,1276704850,
,,1249104266,1266554429,1276706735,
,,1249105018,1266554879,1276707056,
,,1249105992,1266609347,1276707176,
,,1249106204,1266609468,1276707395,
,,1249156080,1266610348,1276707786,
,,1249156868,1266610863,1276708513,
,,1249156915,1266619868,1276708623,
,,1249157221,1266648266,1276708946,
,,1249158024,1266652348,1276709986,
,,1249158457,1266682438,1276711382,
,,1249159717,1266682591,1276711468,
,,1249159772,1266682651,1276712035,
,,1249159885,1266682804,1276712104,
,,1249160206,1266683471,1276712355,
,,1249160884,1266695750,1276712835,
,,1249164142,1266704656,1276714312,
,,1249164470,1266718544,1276714745,
,,1249164627,1266719491,1276714943,
,,1249167396,1266727490,1276715007,
,,1249167527,1266744722,1276715888,
,,1249168554,1266744803,1276716049,
,,1249169258,1266745786,1276716478,
,,1249169402,1266772890,1276716841,
,,1249170359,1266773961,1276717054,
,,1249170517,1266774812,1276717536,
,,1249172222,1266777858,1276718071,
,,1249252007,1266778157,1276718234,
,,1249252146,1266779618,1276718330,
,,1249272250,1266781648,1276718892,
,,1249272805,1266790525,1276719723,
,,1249272955,1266793186,1276720158,
,,1249273206,1266796493,1276720836,
,,1249273562,1266803286,1276721494,
,,1249273735,1266804533,1276721599,
,,1249273909,1266805070,1276879596,
,,1249274010,1266805664,1276879971,
,,1249275605,1266806132,1276880061,
,,1249276920,1266806376,1276880149,
,,1249276975,1266806536,1276880924,
,,1249277220,1266810507,1276881310,
,,1249277551,1266859867,1276881483,
,,1249540591,1266860740,1276881829,
,,1249540773,1266861149,1276882123,
,,1249540983,1266862718,1276883413,
,,1249541808,1266863850,1276891124,
,,1249542499,1266864549,1276893293,
,,1249543134,1266865026,1277139073,
,,1249543189,1266872319,1277160619,
,,1249543552,1266888689,1277160736,
,,1249556618,1266892993,1277299069,
,,1249556661,1266893365,1277384500,
,,1249557308,1266897014,1277388325,
,,1249692997,1266897322,1277400403,
,,1249693139,1266897958,1277401024,
,,1249693423,1266900885,1277401224,
,,1249694206,1266912958,1277401424,
,,1249694279,1266915254,1277401907,
,,1249694481,1266915445,1277402168,
,,1249694976,1266917144,1277402425,
,,1249697354,1266956610,1277411879,
,,1249697429,1266963780,1277411966,
,,1249697621,1266965173,1277414565,
,,1249739269,1266969671,1277414836,
,,1249757824,1266969933,1277476751,
,,1249758084,1266985732,1277477357,
,,1249758148,1266991535,1277477511,
,,1249758369,1266991825,1277477995,
,,1249758533,1267033627,1277480495,
,,1249758588,1267033858,1277480864,
,,1249758725,1267033969,1277481237,
,,1249758923,1267034885,1277481906,
,,1249759129,1267035682,1277482833,
,,1249760327,1267036581,1277482999,
,,1249850421,1267043298,1277483572,
,,1249853280,1267056464,1277483720,
,,1249854376,1267056760,1277483820,
,,1249855389,1267056829,1277484235,
,,1249855549,1267056987,1277485430,
,,1249855567,1267062509,1277485789,
,,1249855654,1267069615,1277486037,
,,1249855712,1267236728,1277486423,
,,1249856064,1267258621,1277486685,
,,1249856435,1267287355,1277487108,
,,1249856866,1267287687,1277487207,
,,1249857145,1267410970,1277487504,
,,1249858399,1267414377,1277487721,
,,1249858721,1267487521,1277491991,
,,1249858844,1267552298,1277492063,
,,1249859530,1267554565,1277492540,
,,1249859998,1267559665,1277493199,
,,1249861748,1267560054,1277493332,
,,1249862061,1267564021,1277493903,
,,1249862483,1267566271,1277494474,
,,1249867998,1267571171,1277496553,
,,1249868640,1267573134,1277498072,
,,1249872242,1267573195,1277498783,
,,1249872691,1267582049,1277498997,
,,1249872729,1267582169,1277499598,
,,1249873088,1267595009,1277499932,
,,1249873481,1267603611,1277500243,
,,1249873679,1267605578,1277500813,
,,1249873817,1267641626,1277501173,
,,1249874402,1267641740,1277501642,
,,1249874496,1267641854,1277501864,
,,1249874708,1267651199,1277746969,
,,1249874902,1267688141,1277759670,
,,1249877464,1267723766,1277821831,
,,1249877660,1267725463,1277821897,
,,1249877875,1267728373,1277822077,
,,1249878362,1267728652,1277829052,
,,1249878505,1267730149,1277829188,
,,1249878869,1267730430,1277829422,
,,1249878946,1267730667,1277829771,
,,1249879224,1267731260,1277829931,
,,1249879526,1267732311,1277830043,
,,1249880076,1267742096,1277831477,
,,1249880390,1267742328,1277832004,
,,1249880790,1267742477,1277833277,
,,1249881007,1267757339,1277833332,
,,1249881259,1267777274,1277834007,
,,1249881374,1267812096,1277840321,
,,1249882011,1267812323,1277840447,
,,1249882559,1267813292,1277840891,
,,1249883662,1267813828,1277843402,
,,1249884995,1267815635,1277843482,
,,1249885343,1267817997,1277843825,
,,1249946428,1267818551,1277845176,
,,1249950721,1267824750,1277845689,
,,1249968183,1267825150,1277864747,
,,1249969873,1267826791,1277865331,
,,1249973431,1267827364,1277865554,
,,1249973630,1267833940,1277865904,
,,1249987524,1267834059,1277866843,
,,1249987588,1267840878,1277902774,
,,1250128307,1267926482,1277903202,
,,1250128496,1267926654,1277904497,
,,1250128634,1267926756,1277905106,
,,1250128713,1267926842,1277905354,
,,1250146105,1267926897,1277907848,
,,1250146519,1267926985,1277909239,
,,1250147002,1267928025,1277914534,
,,1250149783,1267928310,1277915581,
,,1250152562,1267929254,1277918147,
,,1250161542,1267929437,1277918356,
,,1250161681,1267929495,1277919093,
,,1250162047,1267946124,1277919907,
,,1250212324,1267946379,1277921872,
,,1250302594,1267946910,1277923033,
,,1250302679,1267947171,1277924217,
,,1250303691,1267947475,1277924469,
,,1250305390,1267997659,1277924794,
,,1250305913,1268006286,1277925139,
,,1250306261,1268081108,1277925348,
,,1250309548,1268081897,1277926188,
,,1250309735,1268083376,1277927670,
,,1250311292,1268084178,1277929717,
,,1250316161,1268084613,1277930624,
,,1250316666,1268085468,1278005653,
,,1250317594,1268102646,1278012198,
,,1250317717,1268103946,1278013608,
,,1250317834,1268120078,1278076830,
,,1250318631,1268124196,1278077129,
,,1250319372,1268180344,1278078389,
,,1250319577,1268189988,1278078611,
,,1250319693,1268244645,1278078924,
,,1250321578,1268244903,1278079022,
,,1250326478,1268245390,1278079505,
,,1250326831,1268246816,1278079782,
,,1250326992,1268247065,1278080101,
,,1250373319,1268249368,1278080518,
,,1250373823,1268254593,1278087248,
,,1250374292,1268255673,1278088305,
,,1250374480,1268262975,1278088387,
,,1250374803,1268263085,1278088708,
,,1250375059,1268263474,1278089066,
,,1250375530,1268271653,1278089253,
,,1250473200,1268273181,1278091368,
,,1250476655,1268278409,1278093178,
,,1250476944,1268278815,1278093892,
,,1250477180,1268278922,1278094044,
,,1250477488,1268284669,1278095222,
,,1250477645,1268374792,1278165591,
,,1250477981,1268374906,1278340702,
,,1250478248,1268375005,1278340819,
,,1250479650,1268375136,1278340967,
,,1250480493,1268416436,1278341593,
,,1250480869,1268417129,1278341766,
,,1250506555,1268420230,1278341912,
,,1250568938,1268454350,1278342103,
,,1250569123,1268454767,1278342309,
,,1250569304,1268455704,1278342669,
,,1250569526,1268456233,1278342832,
,,1250569689,1268456729,1278342984,
,,1250570211,1268457514,1278343828,
,,1250571289,1268457609,1278344245,
,,1250575862,1268458244,1278345265,
,,1250679216,1268501589,1278345586,
,,1250679329,1268501740,1278348033,
,,1250679957,1268501941,1278348791,
,,1250712116,1268502340,1278360273,
,,1250712688,1268502547,1278360445,
,,1250712955,1268506934,1278360518,
,,1250713107,1268507966,1278360613,
,,1250883372,1268508254,1278361482,
,,1250883647,1268511323,1278361664,
,,1251092368,1268512263,1278361808,
,,1251093588,1268513545,1278362300,
,,1251094288,1268513983,1278368009,
,,1251094571,1268515260,1278368486,
,,1251094909,1268515569,1278369032,
,,1251095252,1268516059,1278369381,
,,1251095788,1268516570,1278370038,
,,1251095939,1268520697,1278371648,
,,1251096442,1268521898,1278427258,
,,1251097202,1268523499,1278433189,
,,1251097907,1268547190,1278433447,
,,1251098067,1268547578,1278435063,
,,1251098240,1268589291,1278436739,
,,1251098300,1268590092,1278437245,
,,1251098548,1268590412,1278439096,
,,1251099734,1268591106,1278439289,
,,1251100084,1268591511,1278443078,
,,1251100299,1268592010,1278443426,
,,1251100617,1268592308,1278443780,
,,1251101055,1268592938,1278445844,
,,1251101586,1268593108,1278446180,
,,1251111799,1268593277,1278446414,
,,1251112225,1268593388,1278446791,
,,1251112301,1268599050,1278448812,
,,1251229342,1268599934,1278450101,
,,1251273619,1268600641,1278450739,
,,1251328938,1268602376,1278451171,
,,1251329181,1268603520,1278451364,
,,1251329714,1268624338,1278451908,
,,1251331181,1268694960,1278503296,
,,1251331366,1268696378,1278503656,
,,1251331871,1268705958,1278503841,
,,1251332002,1268708037,1278504329,
,,1251332117,1268715093,1278512787,
,,1251332499,1268716100,1278513103,
,,1251332656,1268716463,1278513358,
,,1251332695,1268716645,1278513407,
,,1251333061,1268716714,1278513513,
,,1251333206,1268717648,1278513596,
,,1251333368,1268717779,1278517017,
,,1251333495,1268718119,1278517095,
,,1251337519,1268718372,1278520987,
,,1251370446,1268719286,1278521366,
,,1251371498,1268724735,1278522290,
,,1251487736,1268758776,1278522914,
,,1251488309,1268760094,1278526699,
,,1251506764,1268761047,1278528882,
,,1251506934,1268762064,1278534349,
,,1251507514,1268762297,1278534549,
,,1251507730,1268762511,1278535215,
,,1251508601,1268762664,1278535972,
,,1251508705,1268762876,1278536084,
,,1251508782,1268763299,1278536160,
,,1251508956,1268769794,1278536402,
,,1251509271,1268770823,1278536669,
,,1251509435,1268770924,1278537625,
,,1251509951,1268801662,1278539192,
,,1251511182,1268802283,1278616429,
,,1251511860,1268802817,1278616586,
,,1251513545,1268803151,1278617075,
,,1251513829,1268803444,1278617647,
,,1251514033,1268803574,1278618278,
,,1251514278,1268804192,1278620673,
,,1251514553,1268805923,1278622040,
,,1251514679,1268808018,1278622378,
,,1251514807,1268849139,1278622880,
,,1251515105,1268849374,1278623071,
,,1251515281,1268850294,1278624070,
,,1251515507,1268850854,1278624632,
,,1251515948,1268851681,1278624877,
,,1251516396,1268865009,1278625062,
,,1251516640,1268873859,1278638781,
,,1251516827,1268887710,1278638975,
,,1251517254,1268893354,1278639168,
,,1251520427,1268904077,1278639360,
,,1251520753,1268906429,1278639691,
,,1251524800,1268933263,1278640055,
,,1251525214,1268934799,1278640230,
,,1251552902,1268935874,1278641248,
,,1251580967,1268936469,1278641884,
,,1251581288,1268936636,1278690454,
,,1251583106,1268937947,1278690625,
,,1251583468,1268938620,1278694424,
,,1251583608,1268942318,1278695769,
,,1251583732,1268943089,1278696388,
,,1251584179,1268943131,1278697077,
,,1251584365,1268946213,1278699096,
,,1251584435,1268969619,1278699217,
,,1251589641,1269015862,1278707050,
,,1251589944,1269021004,1278710167,
,,1251592662,1269024866,1278710896,
,,1251593019,1269027010,1278856176,
,,1251593864,1269027343,1278858500,
,,1251594096,1269027849,1278862082,
,,1251594153,1269028183,1278862452,
,,1251594532,1269036513,1278862646,
,,1251594866,1269038500,1278862692,
,,1251595022,1269039530,1278866870,
,,1251595122,1269039556,1278867055,
,,1251595277,1269039840,1278867102,
,,1251595651,1269041066,1278867202,
,,1251597020,1269041731,1278867434,
,,1251598170,1269042060,1278867894,
,,1251598689,1269042623,1278868029,
,,1251599483,1269043211,1278868382,
,,1251608379,1269043916,1278868595,
,,1251609236,1269044092,1278869236,
,,1251655279,1269059727,1278869641,
,,1251655677,1269064836,1278869741,
,,1251657738,1269066753,1278883748,
,,1251659183,1269190792,1278884242,
,,1251659314,1269190900,1278884773,
,,1251659421,1269208870,1278885191,
,,1251660216,1269209808,1278885584,
,,1251660286,1269212107,1278886063,
,,1251661139,1269218808,1278886640,
,,1251661662,1269219670,1278886945,
,,1251665216,1269219776,1278887025,
,,1251665365,1269220181,1278887191,
,,1251665716,1269222821,1278887464,
,,1251667531,1269223507,1278887926,
,,1251675106,1269223731,1278888555,
,,1251675264,1269224261,1278889053,
,,1251675459,1269224588,1278889755,
,,1251686052,1269225991,1278892886,
,,1251686414,1269228912,1278893599,
,,1251686598,1269236232,1278895066,
,,1251688175,1269236698,1278895269,
,,1251688589,1269286489,1278896384,
,,1251689344,1269286576,1278899484,
,,1251690424,1269287007,1278899932,
,,1251690966,1269287251,1278900376,
,,1251691135,1269297814,1278903651,
,,1251691355,1269297996,1278904390,
,,1251691552,1269298230,1278905382,
,,1251692844,1269298794,1278905721,
,,1251715532,1269299246,1278905892,
,,1251715964,1269301642,1278906181,
,,1251716150,1269306663,1278906486,
,,1251716312,1269307137,1278907846,
,,1251717199,1269319693,1278908094,
,,1251740906,1269320715,1278908188,
,,1251788493,1269326081,1278908385,
,,1251789065,1269326614,1278908674,
,,1251789554,1269379511,1278908933,
,,1251789919,1269379941,1278909541,
,,1251790253,1269380105,1278909663,
,,1251790824,1269380389,1278909793,
,,1251828838,1269380971,1278909869,
,,1251828947,1269386589,1278910321,
,,1251829018,1269386891,1278910819,
,,1251829085,1269394951,1278911159,
,,1251829301,1269395283,1278912489,
,,1251829464,1269397113,1278913901,
,,1251841636,1269397248,1278914117,
,,1251841766,1269398076,1278914696,
,,1251841946,1269460174,1278914778,
,,1251842075,1269469872,1278915121,
,,1251842395,1269470246,1278951494,
,,1251855076,1269470957,1279031839,
,,1251856952,1269472044,1279032072,
,,1251863099,1269472223,1279032226,
,,1251863997,1269472282,1279034012,
,,1251888920,1269472446,1279034518,
,,1251915986,1269472710,1279035789,
,,1251942425,1269472890,1279036559,
,,1251942585,1269473280,1279036702,
,,1251942826,1269477511,1279037201,
,,1251942927,1269478879,1279038286,
,,1251943020,1269480053,1279038303,
,,1251943337,1269480303,1279038934,
,,1251943536,1269480684,1279039202,
,,1251943881,1269480756,1279039679,
,,1251944071,1269481004,1279040057,
,,1251944252,1269481173,1279040543,
,,1251944651,1269481578,1279040992,
,,1251944894,1269481658,1279042635,
,,1251945186,1269481991,1279042945,
,,1251945703,1269482237,1279043800,
,,1251945969,1269482422,1279043943,
,,1251946104,1269485400,1279044063,
,,1251946271,1269486978,1279050242,
,,1251946582,1269487712,1279050538,
,,1251946813,1269502280,1279050845,
,,1251946837,1269502686,1279051224,
,,1251947494,1269551326,1279051819,
,,1251947851,1269551427,1279052603,
,,1251948397,1269551511,1279053009,
,,1251948493,1269551572,1279053208,
,,1251948976,1269552151,1279053364,
,,1251949403,1269553545,1279053532,
,,1251949816,1269553640,1279054630,
,,1251950283,1269554639,1279054958,
,,1251951714,1269555111,1279055083,
,,1251952126,1269555510,1279055864,
,,1251952406,1269556432,1279057051,
,,1251953783,1269556734,1279132201,
,,1251954635,1269557372,1279132730,
,,1251954928,1269557970,1279133540,
,,1251955087,1269558225,1279134257,
,,1251955183,1269558405,1279210903,
,,1252001099,1269558473,1279211015,
,,1252001656,1269558605,1279211152,
,,1252087103,1269558705,1279211350,
,,1252087275,1269558896,1279211630,
,,1252088127,1269560097,1279211828,
,,1252104485,1269560250,1279212223,
,,1252104570,1269561022,1279212680,
,,1252105618,1269632199,1279212794,
,,1252108467,1269635241,1279214352,
,,1252109282,1269636083,1279214505,
,,1252109527,1269636839,1279215544,
,,1252109798,1269716884,1279215753,
,,1252109948,1269787135,1279216435,
,,1252110579,1269800245,1279217983,
,,1252110647,1269801514,1279218108,
,,1252110840,1269801934,1279218329,
,,1252110926,1269802547,1279219343,
,,1252111658,1269802905,1279219618,
,,1252112219,1269803052,1279219923,
,,1252112348,1269803400,1279220089,
,,1252112785,1269803969,1279220224,
,,1252113414,1269804109,1279220637,
,,1252113583,1269808099,1279221077,
,,1252114193,1269811082,1279221257,
,,1252114426,1269824483,1279221578,
,,1252114483,1269825539,1279221752,
,,1252114919,1269826147,1279221921,
,,1252115279,1269826661,1279222233,
,,1252115540,1269827263,1279223137,
,,1252117347,1269828430,1279225097,
,,1252117822,1269828545,1279226226,
,,1252118216,1269828654,1279226360,
,,1252118428,1269830823,1279226535,
,,1252157000,1269831260,1279226897,
,,1252184997,1269832278,1279227861,
,,1252185629,1269835095,1279228059,
,,1252185836,1269835647,1279228199,
,,1252185920,1269835697,1279228353,
,,1252186085,1269836257,1279228526,
,,1252186660,1269836425,1279228744,
,,1252186744,1269836497,1279304491,
,,1252186795,1269836603,1279304804,
,,1252187048,1269837903,1279304852,
,,1252187304,1269838494,1279305197,
,,1252187416,1269838620,1279305319,
,,1252187574,1269839306,1279306116,
,,1252188691,1269839723,1279306228,
,,1252188977,1269840418,1279306380,
,,1252189450,1269840499,1279306767,
,,1252190389,1269843674,1279308487,
,,1252191889,1269843776,1279309870,
,,1252192603,1269843963,1279310099,
,,1252192961,1269844192,1279310465,
,,1252193456,1269844593,1279310645,
,,1252193836,1269844911,1279310747,
,,1252194519,1269846015,1279311207,
,,1252194741,1269849454,1279311599,
,,1252195946,1269850001,1279312221,
,,1252196362,1269850623,1279313834,
,,1252290393,1269888644,1279314460,
,,1252290640,1269889515,1279543884,
,,1252290899,1269889788,1279544208,
,,1252291028,1269890242,1279544974,
,,1252291224,1269890563,1279548131,
,,1252291321,1269890894,1279550580,
,,1252291765,1269891117,1279551103,
,,1252291811,1269891826,1279555483,
,,1252291919,1269904875,1279555912,
,,1252291985,1269906108,1279557511,
,,1252292149,1269974001,1279559322,
,,1252292356,1269976774,1279560680,
,,1252292548,1269977070,1279561600,
,,1252292646,1269977420,1279562085,
,,1252292755,1269977609,1279568408,
,,1252292984,1269985494,1279569756,
,,1252293349,1269986120,1279569887,
,,1252293761,1269999690,1279570036,
,,1252293910,1269999972,1279570193,
,,1252293930,1270020305,1279572064,
,,1252294359,1270074360,1279572152,
,,1252296302,1270075804,1279572647,
,,1252296524,1270092189,1279572717,
,,1252297180,1270095758,1279572830,
,,1252297440,1270097747,1279573117,
,,1252297750,1270098405,1279573482,
,,1252297958,1270098541,1279573730,
,,1252298241,1270101142,1279573798,
,,1252298328,1270102440,1279573981,
,,1252298515,1270102682,1279574190,
,,1252299190,1270103415,1279574421,
,,1252299825,1270148418,1279632703,
,,1252300100,1270157591,1279635480,
,,1252300321,1270172462,1279635747,
,,1252320370,1270172535,1279636214,
,,1252320568,1270172573,1279637690,
,,1252320641,1270179938,1279638185,
,,1252345703,1270180014,1279638269,
,,1252346035,1270181636,1279638335,
,,1252407175,1270182108,1279638488,
,,1252407376,1270182634,1279638542,
,,1252407647,1270188110,1279638908,
,,1252464097,1270188372,1279640990,
,,1252470704,1270189643,1279641106,
,,1252472248,1270193347,1279641211,
,,1252475068,1270193848,1279641772,
,,1252475619,1270237784,1279642406,
,,1252475704,1270245523,1279642801,
,,1252481031,1270250767,1279643612,
,,1252538100,1270251064,1279645064,
,,1252538272,1270257829,1279645766,
,,1252538370,1270261353,1279646390,
,,1252538490,1270262202,1279656656,
,,1252540907,1270262941,1279657331,
,,1252541153,1270263547,1279721581,
,,1252541308,1270264048,1279721840,
,,1252541416,1270266202,1279724626,
,,1252541713,1270266496,1279725193,
,,1252541801,1270267182,1279726026,
,,1252544940,1270267702,1279727655,
,,1252545716,1270267822,1279736308,
,,1252546161,1270267960,1279741475,
,,1252548681,1270268089,1279741957,
,,1252548751,1270270077,1279746046,
,,1252549089,1270270740,1279746577,
,,1252549164,1270270928,1279746996,
,,1252549226,1270272358,1279747724,
,,1252549269,1270272459,1279748130,
,,1252549374,1270272674,1279749318,
,,1252549785,1270272982,1279749910,
,,1252549926,1270273109,1279751233,
,,1252550080,1270273287,1279765726,
,,1252550158,1270317729,1279768974,
,,1252550214,1270321129,1279770604,
,,1252550359,1270322808,1279770696,
,,1252550686,1270324379,1279770810,
,,1252550806,1270326434,1279772793,
,,1252550955,1270340059,1279773380,
,,1252551014,1270429255,1279825785,
,,1252551494,1270429433,1279826389,
,,1252551719,1270430102,1279826456,
,,1252551978,1270434260,1279826766,
,,1252552674,1270434807,1279827571,
,,1252553036,1270435361,1279828250,
,,1252553123,1270442955,1279828511,
,,1252553500,1270487369,1279829425,
,,1252553894,1270489839,1279830201,
,,1252554002,1270490476,1279830761,
,,1252554165,1270490752,1279832007,
,,1252554272,1270491688,1279832777,
,,1252554495,1270491827,1279891267,
,,1252554867,1270492492,1279893869,
,,1252555268,1270493050,1279894156,
,,1252555582,1270493283,1279902649,
,,1252555762,1270493623,1279903188,
,,1252556098,1270493896,1279905299,
,,1252556429,1270497495,1279905395,
,,1252556549,1270497684,1279906521,
,,1252556638,1270498211,1279906773,
,,1252556896,1270506619,1279915887,
,,1252559836,1270507547,1279916776,
,,1252560505,1270507873,1280010700,
,,1252579908,1270508396,1280011332,
,,1252619425,1270510106,1280111098,
,,1252620500,1270510429,1280111277,
,,1252620794,1270510521,1280111820,
,,1252621588,1270510680,1280149267,
,,1252622340,1270510881,1280149351,
,,1252622461,1270511137,1280149516,
,,1252622724,1270511334,1280149858,
,,1252622988,1270512749,1280154679,
,,1252623189,1270513258,1280158988,
,,1252624211,1270513401,1280163415,
,,1252624698,1270515972,1280163889,
,,1252625005,1270530375,1280163970,
,,1252625215,1270531570,1280164629,
,,1252625321,1270572128,1280165143,
,,1252625848,1270572378,1280165472,
,,1252626039,1270572701,1280165745,
,,1252626160,1270573481,1280166117,
,,1252631890,1270574671,1280166465,
,,1252632015,1270576221,1280168709,
,,1252632510,1270576368,1280170273,
,,1252632809,1270577715,1280170443,
,,1252633330,1270577954,1280170719,
,,1252633632,1270579560,1280178255,
,,1252634002,1270579812,1280178435,
,,1252634285,1270580125,1280178514,
,,1252644746,1270582389,1280178948,
,,1252645069,1270582576,1280179249,
,,1252645361,1270587194,1280179367,
,,1252645498,1270587417,1280179540,
,,1252645612,1270587541,1280190774,
,,1252647084,1270587842,1280190959,
,,1252647259,1270588075,1280192880,
,,1252647421,1270588520,1280193760,
,,1252647648,1270590062,1280194306,
,,1252647699,1270590835,1280194357,
,,1252647804,1270593762,1280194495,
,,1252647869,1270593863,1280194839,
,,1252648134,1270595206,1280195152,
,,1252648526,1270604638,1280195304,
,,1252648925,1270607592,1280197720,
,,1252649482,1270613468,1280197932,
,,1252649831,1270615819,1280198717,
,,1252650006,1270615862,1280198958,
,,1252651647,1270617223,1280252341,
,,1252651727,1270618197,1280252628,
,,1252652593,1270618908,1280252922,
,,1252653010,1270620287,1280253339,
,,1252653369,1270620545,1280258130,
,,1252653641,1270621595,1280258548,
,,1252653854,1270668131,1280258760,
,,1252654246,1270670046,1280259434,
,,1252654441,1270670653,1280260111,
,,1252654647,1270678914,1280260228,
,,1252654790,1270679266,1280260494,
,,1252690763,1270679964,1280260871,
,,1252690856,1270680200,1280262250,
,,1252691025,1270681275,1280262578,
,,1252691141,1270681594,1280262825,
,,1252692276,1270683604,1280262941,
,,1252708519,1270683982,1280265882,
,,1252708866,1270699006,1280266079,
,,1252709025,1270699152,1280266741,
,,1252709180,1270699396,1280413476,
,,1252710216,1270699782,1280432000,
,,1252710457,1270700471,1280434425,
,,1252710629,1270704773,1280434575,
,,1252710789,1270705018,1280435430,
,,1252710867,1270705429,1280436157,
,,1252732081,1270706487,1280436812,
,,1252732639,1270707007,1280437254,
,,1252732810,1270756969,1280448948,
,,1252733063,1270757321,1280450997,
,,1252733161,1270757534,1280452396,
,,1252733320,1270761458,1280497597,
,,1252733964,1270763382,1280499017,
,,1252734664,1270764377,1280500122,
,,1252735044,1270764693,1280501921,
,,1252790586,1270765687,1280509106,
,,1252792759,1270765928,1280509228,
,,1252792834,1270766134,1280509572,
,,1252793184,1270767062,1280513680,
,,1252793255,1270769152,1280513921,
,,1252815844,1270778647,1280514111,
,,1252817859,1270779029,1280515734,
,,1252817999,1270779415,1280515831,
,,1252818110,1270780975,1280516187,
,,1252819297,1270783496,1280516277,
,,1252820556,1270783532,1280516376,
,,1252820705,1270784296,1280516613,
,,1252821251,1270786360,1280516755,
,,1252821658,1270787140,1280517635,
,,1252821896,1270788340,1280517697,
,,1252822069,1270789401,1280519666,
,,1252822224,1270792655,1280519889,
,,1252822485,1270793008,1280519937,
,,1252822743,1270795383,1280520090,
,,1252822823,1270796969,1280520468,
,,1252823069,1270830394,1280520539,
,,1252823508,1270841585,1280520878,
,,1252823956,1270842862,1280521498,
,,1252824213,1270852388,1280533849,
,,1252891540,1270853138,1280534019,
,,1252891758,1270855699,1280763240,
,,1252891893,1270868593,1280774985,
,,1252892022,1270869282,1280775178,
,,1252892383,1270869384,1280777144,
,,1252892444,1270870211,1280777486,
,,1252893140,1270871731,1280777591,
,,1252896743,1270917679,1280780094,
,,1252899951,1270917919,1280846995,
,,1252900374,1270919119,1280848513,
,,1252900481,1270920902,1280848582,
,,1252902910,1270930702,1280848762,
,,1252903232,1270931766,1280849321,
,,1252903774,1270932715,1280849879,
,,1252905187,1270933144,1280850126,
,,1252905744,1270933244,1280850268,
,,1252905876,1270941267,1280850455,
,,1252905939,1270941391,1280850794,
,,1252906000,1270941649,1280851061,
,,1252906134,1270942596,1280851231,
,,1252906500,1270943142,1280851441,
,,1252907182,1270943479,1280851842,
,,1252907299,1270943690,1280852113,
,,1252907518,1270944495,1280852884,
,,1252908119,1270945165,1280853140,
,,1252966388,1270946899,1280853429,
,,1252966571,1270947323,1280854227,
,,1252967112,1270948178,1280854410,
,,1252967435,1270949039,1280854802,
,,1252968774,1270949352,1280855025,
,,1252968887,1270950749,1280855184,
,,1252968981,1270951215,1280855292,
,,1252969075,1270959492,1280855533,
,,1252973478,1270960899,1280855703,
,,1252973719,1270970566,1280856185,
,,1252974419,1271004965,1280856540,
,,1252974502,1271005960,1280857272,
,,1252976008,1271011150,1280857341,
,,1252978057,1271012327,1280857738,
,,1252978221,1271012658,1280858072,
,,1252987936,1271015073,1280858175,
,,1252988025,1271016574,1280858460,
,,1252992158,1271019147,1280864078,
,,1252992474,1271019852,1280868020,
,,1252992689,1271020058,1280868375,
,,1252992813,1271020418,1280868538,
